847159|客户查询(发行临时卡)|dyf|1|Y|
847160|冻结卡查询|hxz|1|Y|
847161|解冻卡查询|hxz|1|Y|
847162|查询客户信息(补写卡信息)|hxz|1|Y|
847163|xxx|hxz|1|Y|
847164|查询商户设备信息|hxz|1|Y|
847165|查询设备信息|hxz|1|Y|
847166|消费机与LPORT信息查询|hxz|1|Y|
847168|客户信息查询(批量发行卡)|hxz|1|Y|
847170|卡户帐户查询|hxz|1|Y|
847171|操作员交易流水查询|hxz|1|Y|
847172|操作员交易流水查询|hxz|1|Y|
847173|操作员交易流水查询|hxz|1|Y|
847174|操作员交易流水查询|hxz|1|Y|
847180|终端机未入账流水查询|hxz|1|Y|
847181| 终端机未入账流水手工入账|hxz|1|Y|
847182|设备商户查询|hxz|1|Y|
847183|冲正交易|hxz|1|Y|
847184|冲正交易|hxz|1|Y|
847185|查询银行对帐单|hxz|1|Y|
847190|收费类别信息增加|wj|1|Y|
847191|收费类别信息修改|wj|1|Y|
847192|收费类别信息删除|wj|1|Y|
847193|收费类别信息查询|wj|1|Y|
847194|查询客户信息(发行正式卡,记名临时卡,补办卡)|lxy|1|Y|
847195|挂失|tc|1|Y|
847196|交易收费配置|tc|1|Y|
847197|会计分录配置查询|tc|1|Y|
847198|收费类别配置|tc|1|Y|
847220|账务解款|tc|1|Y|
847221|账务解款冲正|tc|1|Y|
847222|商户消费结算|tc|1|Y|
847223|商户消费结算冲正|tc|1|Y|
847224|商户消费结算商户余额查询|tc|1|Y|
847225|充值平台检测卡状态|tc|1|Y|
847226|操作员授权卡发行|tc|1|Y|
847227|操作员授权卡回收|tc|1|Y|
847228|修改授权卡参数|tc|1|Y|
847229|授权卡挂失|tc|1|Y|
847230|授权卡解挂|tc|1|Y|
847231|授权卡查询|tc|1|Y|
847232|授权卡查询|tc|1|Y|
847233|考勤流水查询|tc|1|Y|
847234|考勤流水统计查询|tc|1|Y|
847301|水控转账|lx|1|Y|
847302|转账失败|lx|1|Y|
847304|转账写卡失败|lx|1|Y|
847306|水控汇总金额入账|lx|1|Y|
847310|xxx|wj|1|Y|
847311|xxx|wj|1|Y|
847312|xxx|wj|1|Y|
847313|xxx|wj|1|Y|
847315|多媒体补助领取|hlq|1|Y|
847316|第三方请求确认|hlq|1|Y|
847317|第三方正式请求|hlq|1|Y|
847318|终端挂失|hlq|1|Y|
847319|终端挂失|hlq|1|Y|
847320|终端挂失|hlq|1|Y|
847322|电控余额查询|hlq|1|Y|
847343|授权卡发行|hhd|1|Y|
848250|门禁时间段管理|tc|1|Y|
848251|门禁xxx|tc|1|Y|
848252|门禁xxx|tc|1|Y|
848254|门禁xxx|tc|1|Y|
848255|门禁xxx|tc|1|Y|
848256|门禁xxx|tc|1|Y|
848257|门禁xxx|tc|1|Y|
848258|门禁xxx|tc|1|Y|
848259|门禁xxx|tc|1|Y|
848260|门禁xxx|tc|1|Y|
848264|门禁xxx|tc|1|Y|
848265|门禁xxx|tc|1|Y|
848266|门禁xxx|tc|1|Y|
848267|门禁xxx|tc|1|Y|
848268|门禁xxx|tc|1|Y|
848269|门禁xxx|tc|1|Y|
848270|门禁xxx|tc|1|Y|
848271|未领取补助查询xxx|tc|1|Y|
848272|补助领取xxx|tc|1|Y|
848273|门禁常开计划任务|tc|1|Y|
849001|xxx|tc|1|Y|
849002|xxx|tc|1|Y|
849003|xxx|tc|1|Y|
849004|xxx|tc|1|Y|
849005|xxx|tc|1|Y|
849006|xxx|tc|1|Y|
849007|xxx|tc|1|Y|
849008|xxx|tc|1|Y|
849009|xxx|tc|1|Y|
849010|xxx|tc|1|Y|
849020|xxx|tc|1|Y|
849021|xxx|tc|1|Y|
900120|查询结算总表|wj|1|Y|
900121|查询结算总表|wj|1|Y|
900122|查询结算总表|wj|1|Y|
900130|查询对账不符明细报表|wj|1|Y|
900140|查询卡库不平清单|wj|1|Y|
900150|查询操作员情况汇总表|wj|1|Y|
900170|查询普通商户结算表|wj|1|Y|
900171|查询普通商户结算表|wj|1|Y|
900172|生成清算对账文件|wj|1|Y|
900173|查询普通商户结算表|wj|1|Y|
900174|查询普通商户结算表|wj|1|Y|
900175|查询普通商户结算表|wj|1|Y|
900176|查询普通商户结算表|wj|1|Y|
900210|查询转账对账表|wj|1|Y|
900212|查询转账对账表|wj|1|Y|
900213|查询转账对账表|wj|1|Y|
900220|查询银行划拨表|wj|1|Y|
900230|查询资产负债表|wj|1|Y|
900240|按照设备查询充值报表|wj|1|Y|
900250|前置机设备充值报表|wj|1|Y|
900260|查询操作员卡片使用情况|wj|1|Y|
900270|查询操作员当天操作情况|wj|1|Y|
900272|商户结算对账文件|wj|1|Y|
900273|对账文件导入|wj|1|Y|
900274|操作员现金对账文件|wj|1|Y|
900280|查询现金报表|wj|1|Y|
900281|查询现金报表|wj|1|Y|
900285|查询现金报表|wj|1|Y|
900290|查询普通商户结算报表(当天)|wj|1|Y|
900291|查询普通商户结算报表(当天)|wj|1|Y|
900300|查询商户解款报表|wj|1|Y|
900310|查询商户解款报表|wj|1|Y|
900320|查询商户解款报表|wj|1|Y|
900088|前台手工生成报表|wj|1|Y|
888169|halfway_water|LeeXY|1|Y|
888170|error_water|LeeXY|1|Y|
