--- BULinkThread Status at 163834 (TickCount=3740911441)---
00(WAITREQ) QNO1105709 GID(GMDB1      ) LT[02:00:06] LF167 LRT930031  LST0          
01(WAITREQ) QNO100602 GID(GMDB1      ) LT[02:00:06] LF105 LRT930098  LST0          
02(WAITREQ) QNO5032  GID(GMDB1      ) LT[02:00:06] LF 71 LRT930031  LST0          
03(WAITREQ) QNO404   GID(GMDB1      ) LT[02:00:06] LF 53 LRT930099  LST0          
04(WAITREQ) QNO259   GID(GMDB1      ) LT[02:00:06] LF 50 LRT930098  LST0          
05(WAITREQ) QNO163   GID(GMDB1      ) LT[02:00:06] LF 34 LRT930098  LST0          
06(WAITREQ) QNO19    GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
07(WAITREQ) QNO7     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
08(WAITREQ) QNO6     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
09(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
10(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
11(NOTREADY) QNO5    
12(WAITREQ) QNO4     GID(GMDB1      ) LT[01:09:15] LF 10 LRT0       LST0          
13(WAITREQ) QNO3     GID(GMDB1      ) LT[01:12:38] LF 10 LRT0       LST0          
14(WAITREQ) QNO2     GID(GMDB1      ) LT[01:19:49] LF 10 LRT0       LST0          
15(WAITREQ) QNO2     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          

Function Status at 163834 (TickCount=3740911441)---
funcno|class|active|success|failure|           time| t_max| t_min|Description       | Programmer   
847109|    1|     Y|      0|      0|              0|     0|     0|帐户开户|dyf
847110|    1|     Y|      9|      1|            120|    46|     7|更新卡信息|dyf
847111|    1|     Y|      0|      0|              0|     0|     0|修改卡密码|dyf
847115|    1|     Y|      2|      0|             22|    18|     4|授权卡信息查询|dyf
847116|    1|     Y|      0|      0|              0|     0|     0|发行临时卡|dyf
847117|    1|     Y|      0|      0|              0|     0|     0|冻结卡|hxz
847118|    1|     Y|      0|      0|              0|     0|     0|解冻卡|hxz
847119|    1|     Y|      2|      0|             73|    63|    10|xxx|hxz
847120|    1|     Y|      2|      0|             25|    15|    10|xxx|hxz
847121|    1|     Y|      2|     10|             59|    35|    24|xxx|hxz
847122|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847123|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847124|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847125|    1|     Y|     19|      0|           1080|    66|    33|xxx|hxz
847126|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847127|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847130|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847131|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847132|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847150|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
847151|    1|     Y|     58|     61|           2010|   114|    22|客户查询(发行正式卡)|dyf
847152|    1|     Y|     41|     18|           2795|   345|     6|客户查询(挂失卡)|dyf
847153|    1|     Y|     35|      0|            795|    63|     8|客户查询(解挂卡)|dyf
847154|    1|     Y|      4|      0|            378|    98|    86|客户查询(补办卡)|dyf
847155|    1|     Y|     44|     15|           1424|   501|     5|客户查询(收回卡)|dyf
847156|    1|     Y|   2438|     74|          42744|   185|     5|客户查询(现金充值)|dyf
847158|    1|     Y|      0|      0|              0|     0|     0|客户查询(帐户开户)|dyf
847159|    1|     Y|      0|      0|              0|     0|     0|客户查询(发行临时卡)|dyf
847160|    1|     Y|      0|      0|              0|     0|     0|冻结卡查询|hxz
847161|    1|     Y|      0|      0|              0|     0|     0|解冻卡查询|hxz
847162|    1|     Y|      4|      3|             99|    30|    17|xxx|hxz
847163|    1|     Y|     65|      0|            564|    47|     0|xxx|hxz
847164|    1|     Y|      0|      0|              0|     0|     0|xxx|hxz
